charge_id,invoice_id,customer_id,amount,status,created
ch_000062,in_000063,cus_000075,29,succeeded,2025-01-09
ch_000063,in_000064,cus_000076,29,succeeded,2025-01-19
ch_000064,in_000065,cus_000077,9,succeeded,2025-01-03
ch_000065,in_000066,cus_000079,9,succeeded,2025-01-19
ch_000066,in_000067,cus_000080,990,succeeded,2025-01-05
ch_000067,in_000068,cus_000081,9,succeeded,2025-01-27
ch_000068,in_000069,cus_000082,9,succeeded,2025-01-25
ch_000069,in_000070,cus_000083,90,succeeded,2025-01-02
ch_000070,in_000071,cus_000084,9,succeeded,2025-01-06
ch_000071,in_000072,cus_000086,9,succeeded,2025-01-10
ch_000072,in_000073,cus_000087,9,succeeded,2025-01-27
ch_000073,in_000074,cus_000088,290,succeeded,2025-01-21
ch_000074,in_000075,cus_000089,9,succeeded,2025-01-08
ch_000075,in_000076,cus_000090,299,succeeded,2025-01-21
ch_000076,in_000077,cus_000091,99,succeeded,2025-01-12
ch_000077,in_000078,cus_000092,290,succeeded,2025-01-18
ch_000078,in_000079,cus_000093,90,succeeded,2025-01-30
ch_000079,in_000080,cus_000094,290,succeeded,2025-01-21
ch_000080,in_000081,cus_000095,29,succeeded,2025-01-20
ch_000081,in_000082,cus_000098,29,succeeded,2025-01-16
ch_000082,in_000083,cus_000099,29,succeeded,2025-01-21
ch_000083,in_000084,cus_000102,299,succeeded,2025-01-30
ch_000084,in_000085,cus_000105,9,succeeded,2025-01-21
ch_000085,in_000086,cus_000106,299,succeeded,2025-01-08
ch_000086,in_000087,cus_000107,9,succeeded,2025-01-08
ch_000087,in_000088,cus_000108,9,succeeded,2025-01-07
ch_000088,in_000089,cus_000110,299,succeeded,2025-01-29
ch_000089,in_000090,cus_000111,9,succeeded,2025-01-24
ch_000090,in_000091,cus_000112,90,succeeded,2025-01-17
ch_000091,in_000092,cus_000113,29,succeeded,2025-01-10
ch_000092,in_000093,cus_000114,90,succeeded,2025-01-26
ch_000093,in_000094,cus_000115,9,succeeded,2025-01-20
ch_000094,in_000095,cus_000117,9,succeeded,2025-01-12
ch_000095,in_000096,cus_000118,29,succeeded,2025-01-11
ch_000096,in_000097,cus_000119,9,succeeded,2025-01-05
ch_000097,in_000098,cus_000120,290,succeeded,2025-01-05
ch_000098,in_000099,cus_000122,299,succeeded,2025-01-14
ch_000099,in_000100,cus_000123,90,succeeded,2025-01-21
ch_000100,in_000101,cus_000125,9,succeeded,2025-01-01
ch_000101,in_000102,cus_000126,9,succeeded,2025-01-24
ch_000102,in_000103,cus_000127,29,succeeded,2025-01-31
ch_000103,in_000104,cus_000128,99,succeeded,2025-01-07
ch_000104,in_000105,cus_000129,9,succeeded,2025-01-23
ch_000105,in_000106,cus_000130,99,succeeded,2025-01-04
ch_000106,in_000107,cus_000131,9,succeeded,2025-01-23
ch_000107,in_000108,cus_000132,99,succeeded,2025-01-30
ch_000108,in_000109,cus_000133,90,succeeded,2025-01-04
ch_000109,in_000110,cus_000134,9,succeeded,2025-01-20
ch_000110,in_000111,cus_000135,29,succeeded,2025-01-04
ch_000111,in_000112,cus_000136,9,succeeded,2025-01-24
ch_000112,in_000113,cus_000137,9,succeeded,2025-01-25
ch_000113,in_000114,cus_000138,9,succeeded,2025-01-22
ch_000114,in_000115,cus_000139,9,succeeded,2025-01-03
ch_000115,in_000116,cus_000140,290,succeeded,2025-01-27
ch_000116,in_000117,cus_000141,299,succeeded,2025-01-14
ch_000117,in_000118,cus_000142,9,succeeded,2025-01-11
ch_000118,in_000119,cus_000144,90,succeeded,2025-01-24
ch_000119,in_000120,cus_000145,9,succeeded,2025-01-25
ch_000120,in_000121,cus_000146,99,succeeded,2025-01-17
ch_000121,in_000122,cus_000147,29,succeeded,2025-01-06
ch_000122,in_000123,cus_000148,9,succeeded,2025-01-18
ch_000123,in_000124,cus_000151,990,succeeded,2025-01-08
ch_000124,in_000125,cus_000152,29,succeeded,2025-01-30
ch_000125,in_000126,cus_000153,99,succeeded,2025-01-20
ch_000126,in_000127,cus_000154,99,succeeded,2025-01-13
ch_000127,in_000128,cus_000155,290,succeeded,2025-01-30
ch_000128,in_000129,cus_000156,99,succeeded,2025-01-18
ch_000129,in_000131,cus_000159,29,succeeded,2025-01-04
ch_000130,in_000132,cus_000160,9,succeeded,2025-01-21
ch_000131,in_000133,cus_000161,29,succeeded,2025-01-03
ch_000132,in_000134,cus_000162,9,succeeded,2025-01-15
ch_000133,in_000135,cus_000163,9,succeeded,2025-01-23
ch_000134,in_000136,cus_000164,90,succeeded,2025-01-21
ch_000135,in_000137,cus_000165,29,succeeded,2025-01-15
ch_000136,in_000138,cus_000166,90,succeeded,2025-01-26
ch_000137,in_000139,cus_000168,299,succeeded,2025-01-01
ch_000138,in_000140,cus_000169,90,succeeded,2025-01-20
ch_000139,in_000141,cus_000170,9,succeeded,2025-01-07
ch_000140,in_000142,cus_000172,290,succeeded,2025-01-11
ch_000141,in_000143,cus_000173,9,succeeded,2025-01-01
ch_000142,in_000144,cus_000174,9,succeeded,2025-01-21
ch_000143,in_000145,cus_000175,29,succeeded,2025-01-27
ch_000144,in_000146,cus_000176,29,succeeded,2025-01-29
ch_000145,in_000147,cus_000178,299,succeeded,2025-01-22
ch_000146,in_000148,cus_000179,29,succeeded,2025-01-23
ch_000147,in_000149,cus_000180,29,succeeded,2025-01-18
ch_000148,in_000150,cus_000181,29,succeeded,2025-01-10
ch_000149,in_000152,cus_000001,9,succeeded,2025-02-02
ch_000150,in_000153,cus_000002,29,succeeded,2025-02-18
ch_000151,in_000154,cus_000005,9,succeeded,2025-02-04
ch_000152,in_000155,cus_000007,9,succeeded,2025-02-02
ch_000153,in_000156,cus_000008,9,succeeded,2025-02-11
ch_000154,in_000157,cus_000009,9,succeeded,2025-02-03
ch_000155,in_000158,cus_000011,99,succeeded,2025-02-25
ch_000156,in_000159,cus_000012,9,succeeded,2025-02-10
ch_000157,in_000160,cus_000014,9,succeeded,2025-02-13
ch_000158,in_000161,cus_000015,9,succeeded,2025-02-10
ch_000159,in_000162,cus_000016,9,succeeded,2025-02-26
ch_000160,in_000163,cus_000017,99,succeeded,2025-02-25
ch_000161,in_000164,cus_000018,299,succeeded,2025-02-07
ch_000162,in_000165,cus_000019,9,succeeded,2025-02-09
ch_000163,in_000167,cus_000021,29,succeeded,2025-02-09
ch_000164,in_000168,cus_000022,9,succeeded,2025-02-14
ch_000165,in_000169,cus_000023,299,succeeded,2025-02-25
ch_000166,in_000170,cus_000024,9,succeeded,2025-02-23
ch_000167,in_000171,cus_000025,29,succeeded,2025-02-26
ch_000168,in_000172,cus_000027,9,succeeded,2025-02-04
ch_000169,in_000173,cus_000028,9,succeeded,2025-02-02
ch_000170,in_000174,cus_000029,9,succeeded,2025-02-24
ch_000171,in_000175,cus_000032,9,succeeded,2025-02-14
ch_000172,in_000176,cus_000033,29,succeeded,2025-02-25
ch_000173,in_000177,cus_000034,9,succeeded,2025-02-14
ch_000174,in_000178,cus_000035,9,succeeded,2025-02-01
ch_000175,in_000179,cus_000037,9,succeeded,2025-02-08
ch_000176,in_000180,cus_000038,99,succeeded,2025-02-13
ch_000177,in_000181,cus_000039,29,succeeded,2025-02-12
ch_000178,in_000182,cus_000040,9,succeeded,2025-02-04
ch_000179,in_000183,cus_000041,29,succeeded,2025-02-03
ch_000180,in_000184,cus_000042,99,succeeded,2025-02-22
ch_000181,in_000185,cus_000043,290,succeeded,2025-02-07
ch_000182,in_000186,cus_000045,29,succeeded,2025-02-02
ch_000183,in_000187,cus_000046,299,succeeded,2025-02-01
ch_000184,in_000189,cus_000048,990,succeeded,2025-02-05
ch_000185,in_000190,cus_000049,299,succeeded,2025-02-21
ch_000186,in_000191,cus_000050,29,succeeded,2025-02-25
ch_000187,in_000192,cus_000051,299,succeeded,2025-02-15
ch_000188,in_000193,cus_000052,90,succeeded,2025-02-28
ch_000189,in_000194,cus_000053,29,succeeded,2025-02-22
ch_000190,in_000195,cus_000058,99,succeeded,2025-02-05
ch_000191,in_000196,cus_000059,9,succeeded,2025-02-26
ch_000192,in_000197,cus_000060,29,succeeded,2025-02-25
ch_000193,in_000198,cus_000062,29,succeeded,2025-02-15
ch_000194,in_000199,cus_000063,9,succeeded,2025-02-10
ch_000195,in_000200,cus_000064,9,succeeded,2025-02-05
ch_000196,in_000201,cus_000065,9,succeeded,2025-02-09
ch_000197,in_000202,cus_000066,29,succeeded,2025-02-13
ch_000198,in_000203,cus_000067,29,succeeded,2025-02-01
ch_000199,in_000204,cus_000068,99,succeeded,2025-02-20
ch_000200,in_000205,cus_000069,9,succeeded,2025-02-25
ch_000201,in_000206,cus_000070,9,succeeded,2025-02-13
ch_000202,in_000207,cus_000071,290,succeeded,2025-02-01
ch_000203,in_000208,cus_000072,290,succeeded,2025-02-20
ch_000204,in_000209,cus_000073,9,succeeded,2025-02-05
ch_000205,in_000210,cus_000074,9,succeeded,2025-02-23
ch_000206,in_000211,cus_000075,29,succeeded,2025-02-11
ch_000207,in_000212,cus_000076,29,succeeded,2025-02-09
ch_000208,in_000213,cus_000077,90,succeeded,2025-02-10
ch_000209,in_000215,cus_000080,990,succeeded,2025-02-16
ch_000210,in_000216,cus_000081,9,succeeded,2025-02-22
ch_000211,in_000217,cus_000082,9,succeeded,2025-02-11
ch_000212,in_000218,cus_000083,90,succeeded,2025-02-12
ch_000213,in_000219,cus_000084,9,succeeded,2025-02-01
ch_000214,in_000220,cus_000086,9,succeeded,2025-02-09
ch_000215,in_000221,cus_000087,9,succeeded,2025-02-22
ch_000216,in_000222,cus_000088,290,succeeded,2025-02-28
ch_000217,in_000223,cus_000089,9,succeeded,2025-02-26
ch_000218,in_000224,cus_000090,299,succeeded,2025-02-02
ch_000219,in_000225,cus_000091,99,succeeded,2025-02-14
ch_000220,in_000226,cus_000092,290,succeeded,2025-02-18
ch_000221,in_000227,cus_000093,290,succeeded,2025-02-13
ch_000222,in_000228,cus_000094,290,succeeded,2025-02-23
ch_000223,in_000229,cus_000095,29,succeeded,2025-02-13
ch_000224,in_000230,cus_000098,29,succeeded,2025-02-24
ch_000225,in_000231,cus_000099,29,succeeded,2025-02-20
ch_000226,in_000232,cus_000102,299,succeeded,2025-02-07
ch_000227,in_000233,cus_000105,9,succeeded,2025-02-26
ch_000228,in_000234,cus_000106,299,succeeded,2025-02-25
ch_000229,in_000235,cus_000107,9,succeeded,2025-02-22
ch_000230,in_000236,cus_000108,9,succeeded,2025-02-25
ch_000231,in_000237,cus_000110,299,succeeded,2025-02-06
ch_000232,in_000238,cus_000111,9,succeeded,2025-02-11
ch_000233,in_000239,cus_000112,90,succeeded,2025-02-28
ch_000234,in_000240,cus_000113,29,succeeded,2025-02-03
ch_000235,in_000241,cus_000114,90,succeeded,2025-02-23
ch_000236,in_000242,cus_000115,9,succeeded,2025-02-19
ch_000237,in_000243,cus_000117,9,succeeded,2025-02-09
ch_000238,in_000244,cus_000118,29,succeeded,2025-02-02
ch_000239,in_000245,cus_000119,9,succeeded,2025-02-23
ch_000240,in_000246,cus_000120,290,succeeded,2025-02-13
ch_000241,in_000247,cus_000122,299,succeeded,2025-02-16
ch_000242,in_000248,cus_000123,90,succeeded,2025-02-15
ch_000243,in_000249,cus_000125,9,succeeded,2025-02-05
ch_000244,in_000250,cus_000126,9,succeeded,2025-02-27
ch_000245,in_000251,cus_000127,29,succeeded,2025-02-11
ch_000246,in_000252,cus_000128,99,succeeded,2025-02-11
ch_000247,in_000253,cus_000129,9,succeeded,2025-02-01
ch_000248,in_000255,cus_000131,9,succeeded,2025-02-25
ch_000249,in_000256,cus_000132,99,succeeded,2025-02-17
ch_000250,in_000257,cus_000133,90,succeeded,2025-02-06
ch_000251,in_000258,cus_000135,29,succeeded,2025-02-16
ch_000252,in_000259,cus_000136,9,succeeded,2025-02-08
ch_000253,in_000260,cus_000137,9,succeeded,2025-02-28
ch_000254,in_000261,cus_000138,9,succeeded,2025-02-21
ch_000255,in_000262,cus_000139,9,succeeded,2025-02-02
ch_000256,in_000263,cus_000140,290,succeeded,2025-02-07
ch_000257,in_000264,cus_000141,299,succeeded,2025-02-21
ch_000258,in_000265,cus_000142,9,succeeded,2025-02-21
ch_000259,in_000266,cus_000144,90,succeeded,2025-02-05
ch_000260,in_000267,cus_000145,9,succeeded,2025-02-23
ch_000261,in_000268,cus_000146,99,succeeded,2025-02-13
ch_000262,in_000269,cus_000147,29,succeeded,2025-02-05
ch_000263,in_000270,cus_000148,9,succeeded,2025-02-05
ch_000264,in_000271,cus_000150,29,succeeded,2025-02-15
ch_000265,in_000272,cus_000151,990,succeeded,2025-02-23
ch_000266,in_000273,cus_000152,29,succeeded,2025-02-23
ch_000267,in_000274,cus_000153,99,succeeded,2025-02-20
ch_000268,in_000275,cus_000154,99,succeeded,2025-02-13
ch_000269,in_000276,cus_000155,290,succeeded,2025-02-26
ch_000270,in_000277,cus_000156,99,succeeded,2025-02-15
ch_000271,in_000278,cus_000157,299,succeeded,2025-02-17
ch_000272,in_000279,cus_000159,29,succeeded,2025-02-18
ch_000273,in_000280,cus_000160,9,succeeded,2025-02-18
ch_000274,in_000281,cus_000161,29,succeeded,2025-02-22
ch_000275,in_000282,cus_000162,9,succeeded,2025-02-07
ch_000276,in_000283,cus_000163,9,succeeded,2025-02-26
ch_000277,in_000284,cus_000164,90,succeeded,2025-02-28
ch_000278,in_000285,cus_000165,29,succeeded,2025-02-04
ch_000279,in_000286,cus_000168,299,succeeded,2025-02-11
ch_000280,in_000287,cus_000169,90,succeeded,2025-02-14
ch_000281,in_000288,cus_000170,9,succeeded,2025-02-15
ch_000282,in_000289,cus_000172,290,succeeded,2025-02-07
ch_000283,in_000290,cus_000173,9,succeeded,2025-02-17
ch_000284,in_000291,cus_000174,9,succeeded,2025-02-17
ch_000285,in_000292,cus_000175,29,succeeded,2025-02-19
ch_000286,in_000293,cus_000176,29,succeeded,2025-02-02
ch_000287,in_000294,cus_000178,299,succeeded,2025-02-10
ch_000288,in_000295,cus_000179,29,succeeded,2025-02-21
ch_000289,in_000296,cus_000180,29,succeeded,2025-02-10
ch_000290,in_000297,cus_000181,29,succeeded,2025-02-03
ch_000291,in_000298,cus_000182,9,succeeded,2025-02-05
ch_000292,in_000299,cus_000183,29,succeeded,2025-02-24
ch_000293,in_000300,cus_000184,9,succeeded,2025-02-24
ch_000294,in_000301,cus_000185,9,succeeded,2025-02-18
ch_000295,in_000302,cus_000187,29,succeeded,2025-02-09
ch_000296,in_000303,cus_000189,99,succeeded,2025-02-28
ch_000297,in_000304,cus_000190,9,succeeded,2025-02-07
ch_000298,in_000305,cus_000191,9,succeeded,2025-02-15
ch_000299,in_000306,cus_000192,9,succeeded,2025-02-18
ch_000300,in_000307,cus_000193,9,succeeded,2025-02-23
ch_000301,in_000308,cus_000194,9,succeeded,2025-02-20
ch_000302,in_000309,cus_000195,9,succeeded,2025-02-10
ch_000303,in_000310,cus_000196,29,succeeded,2025-02-05
ch_000304,in_000311,cus_000197,9,succeeded,2025-02-22
ch_000305,in_000312,cus_000198,90,succeeded,2025-02-01
ch_000306,in_000313,cus_000200,99,succeeded,2025-02-20
ch_000307,in_000314,cus_000201,290,succeeded,2025-02-22
ch_000308,in_000315,cus_000202,290,succeeded,2025-02-08
ch_000309,in_000316,cus_000205,99,succeeded,2025-02-14
ch_000310,in_000317,cus_000206,29,succeeded,2025-02-04
ch_000311,in_000319,cus_000209,99,succeeded,2025-02-05
ch_000312,in_000320,cus_000210,299,succeeded,2025-02-09
ch_000313,in_000321,cus_000211,90,succeeded,2025-02-27
ch_000314,in_000322,cus_000212,990,succeeded,2025-02-24
ch_000315,in_000323,cus_000213,9,succeeded,2025-02-16
ch_000316,in_000324,cus_000214,99,succeeded,2025-02-21
ch_000317,in_000325,cus_000215,99,succeeded,2025-02-11
ch_000318,in_000326,cus_000216,9,succeeded,2025-02-21
ch_000319,in_000327,cus_000217,29,succeeded,2025-02-26
ch_000320,in_000328,cus_000219,29,succeeded,2025-02-09
ch_000321,in_000329,cus_000220,9,succeeded,2025-02-25
ch_000322,in_000330,cus_000221,99,succeeded,2025-02-27
ch_000323,in_000331,cus_000222,29,succeeded,2025-02-20
ch_000324,in_000332,cus_000223,29,succeeded,2025-02-16
ch_000325,in_000333,cus_000224,99,succeeded,2025-02-05
ch_000326,in_000334,cus_000225,299,succeeded,2025-02-24
ch_000327,in_000335,cus_000226,9,succeeded,2025-02-17
ch_000328,in_000336,cus_000227,99,succeeded,2025-02-08
ch_000329,in_000337,cus_000228,29,succeeded,2025-02-08
ch_000330,in_000338,cus_000229,9,succeeded,2025-02-09
ch_000331,in_000339,cus_000230,9,succeeded,2025-02-05
ch_000332,in_000340,cus_000231,299,succeeded,2025-02-11
ch_000333,in_000341,cus_000232,29,succeeded,2025-02-28
ch_000334,in_000342,cus_000233,99,succeeded,2025-02-10
ch_000335,in_000343,cus_000234,29,succeeded,2025-02-13
ch_000336,in_000344,cus_000235,29,succeeded,2025-02-09
ch_000337,in_000345,cus_000238,9,succeeded,2025-02-22
ch_000338,in_000346,cus_000239,9,succeeded,2025-02-10
ch_000339,in_000347,cus_000240,99,succeeded,2025-02-25
ch_000340,in_000348,cus_000242,99,succeeded,2025-02-25
ch_000341,in_000349,cus_000243,99,succeeded,2025-02-25
ch_000342,in_000350,cus_000244,99,succeeded,2025-02-16
ch_000343,in_000351,cus_000245,29,succeeded,2025-02-02
ch_000344,in_000352,cus_000246,990,succeeded,2025-02-24
ch_000345,in_000353,cus_000247,29,succeeded,2025-02-17
ch_000346,in_000354,cus_000248,290,succeeded,2025-02-15
ch_000347,in_000355,cus_000250,29,succeeded,2025-02-15
ch_000348,in_000356,cus_000251,90,succeeded,2025-02-22
ch_000349,in_000357,cus_000252,9,succeeded,2025-02-14
ch_000350,in_000358,cus_000253,290,succeeded,2025-02-11
ch_000351,in_000359,cus_000254,29,succeeded,2025-02-25
ch_000352,in_000360,cus_000255,29,succeeded,2025-02-09
ch_000353,in_000361,cus_000256,9,succeeded,2025-02-10
ch_000354,in_000362,cus_000257,9,succeeded,2025-02-24
ch_000355,in_000363,cus_000258,29,succeeded,2025-02-09
ch_000356,in_000364,cus_000259,299,succeeded,2025-02-17
ch_000357,in_000365,cus_000261,9,succeeded,2025-02-24
ch_000358,in_000366,cus_000262,9,succeeded,2025-02-27
ch_000359,in_000367,cus_000263,299,succeeded,2025-02-16
ch_000360,in_000368,cus_000264,99,succeeded,2025-02-28
ch_000361,in_000369,cus_000265,299,succeeded,2025-02-08
ch_000362,in_000370,cus_000266,9,succeeded,2025-02-27
ch_000363,in_000371,cus_000267,990,succeeded,2025-02-12
ch_000364,in_000372,cus_000268,29,succeeded,2025-02-16
ch_000365,in_000373,cus_000269,99,succeeded,2025-02-07
ch_000366,in_000374,cus_000270,29,succeeded,2025-02-02
ch_000367,in_000375,cus_000271,9,succeeded,2025-02-25
ch_000368,in_000376,cus_000272,29,succeeded,2025-02-25
ch_000369,in_000377,cus_000273,9,succeeded,2025-02-04
ch_000370,in_000378,cus_000275,990,succeeded,2025-02-04
ch_000371,in_000379,cus_000276,9,succeeded,2025-02-19
ch_000372,in_000380,cus_000278,990,succeeded,2025-02-27
ch_000373,in_000381,cus_000279,9,succeeded,2025-02-03
ch_000374,in_000382,cus_000280,99,succeeded,2025-02-08
ch_000375,in_000383,cus_000281,9,succeeded,2025-02-05
ch_000376,in_000384,cus_000282,29,succeeded,2025-02-14
ch_000377,in_000385,cus_000283,29,succeeded,2025-02-02
ch_000378,in_000386,cus_000285,99,succeeded,2025-02-12
ch_000379,in_000388,cus_000287,9,succeeded,2025-02-25
ch_000380,in_000389,cus_000288,9,succeeded,2025-02-17
ch_000381,in_000390,cus_000290,9,succeeded,2025-02-24
ch_000382,in_000391,cus_000291,290,succeeded,2025-02-22
ch_000383,in_000392,cus_000292,29,succeeded,2025-02-21
ch_000384,in_000393,cus_000295,9,succeeded,2025-02-24
ch_000385,in_000394,cus_000296,9,succeeded,2025-02-08
ch_000386,in_000395,cus_000298,9,succeeded,2025-02-23
ch_000387,in_000396,cus_000299,9,succeeded,2025-02-09
ch_000388,in_000397,cus_000300,99,succeeded,2025-02-23
ch_000389,in_000398,cus_000301,9,succeeded,2025-02-16
ch_000390,in_000399,cus_000302,9,succeeded,2025-02-22
ch_000391,in_000400,cus_000303,290,succeeded,2025-02-05
ch_000392,in_000401,cus_000304,9,succeeded,2025-02-10
ch_000393,in_000402,cus_000306,9,succeeded,2025-02-03
ch_000394,in_000404,cus_000310,299,succeeded,2025-02-01
ch_000395,in_000405,cus_000311,29,succeeded,2025-02-07
ch_000396,in_000406,cus_000312,99,succeeded,2025-02-04
ch_000397,in_000407,cus_000314,9,succeeded,2025-02-26
ch_000398,in_000408,cus_000315,99,succeeded,2025-02-22
ch_000399,in_000409,cus_000316,9,succeeded,2025-02-13
ch_000400,in_000410,cus_000317,29,succeeded,2025-02-28
ch_000401,in_000411,cus_000318,29,succeeded,2025-02-14
ch_000402,in_000412,cus_000319,29,succeeded,2025-02-21
ch_000403,in_000413,cus_000320,99,succeeded,2025-02-14
ch_000404,in_000414,cus_000321,29,succeeded,2025-02-16
ch_000405,in_000415,cus_000322,29,succeeded,2025-02-04
ch_000406,in_000416,cus_000324,299,succeeded,2025-02-21
ch_000407,in_000417,cus_000326,9,succeeded,2025-02-05
ch_000408,in_000418,cus_000327,29,succeeded,2025-02-24
ch_000409,in_000419,cus_000328,29,succeeded,2025-02-02
ch_000410,in_000420,cus_000329,9,succeeded,2025-02-17
ch_000411,in_000421,cus_000330,9,succeeded,2025-02-14
ch_000412,in_000422,cus_000335,90,succeeded,2025-02-09
ch_000413,in_000423,cus_000337,290,succeeded,2025-02-13
ch_000414,in_000424,cus_000338,299,succeeded,2025-02-27
ch_000415,in_000425,cus_000340,29,succeeded,2025-02-24
ch_000416,in_000426,cus_000342,99,succeeded,2025-02-08
ch_000417,in_000427,cus_000343,99,succeeded,2025-02-15
ch_000418,in_000428,cus_000344,29,succeeded,2025-02-25
ch_000419,in_000429,cus_000345,99,succeeded,2025-02-10
ch_000420,in_000430,cus_000346,9,succeeded,2025-02-12
ch_000421,in_000431,cus_000347,9,succeeded,2025-02-16
ch_000422,in_000432,cus_000348,9,succeeded,2025-02-20
ch_000423,in_000433,cus_000349,29,succeeded,2025-02-08
ch_000424,in_000434,cus_000350,9,succeeded,2025-02-26
ch_000425,in_000435,cus_000351,9,succeeded,2025-02-03
ch_000426,in_000436,cus_000352,29,succeeded,2025-02-27
ch_000427,in_000437,cus_000354,299,succeeded,2025-02-11
ch_000428,in_000438,cus_000355,99,succeeded,2025-02-22
ch_000429,in_000439,cus_000001,9,succeeded,2025-03-10
ch_000430,in_000440,cus_000002,29,succeeded,2025-03-16
ch_000431,in_000441,cus_000005,9,succeeded,2025-03-07
ch_000432,in_000443,cus_000008,9,succeeded,2025-03-19
ch_000433,in_000444,cus_000009,9,succeeded,2025-03-01
ch_000434,in_000445,cus_000011,99,succeeded,2025-03-22
ch_000435,in_000446,cus_000012,9,succeeded,2025-03-15
ch_000436,in_000447,cus_000015,9,succeeded,2025-03-23
ch_000437,in_000449,cus_000017,99,succeeded,2025-03-19
ch_000438,in_000450,cus_000018,299,succeeded,2025-03-11
ch_000439,in_000451,cus_000019,9,succeeded,2025-03-17
ch_000440,in_000452,cus_000020,29,succeeded,2025-03-24
ch_000441,in_000453,cus_000021,29,succeeded,2025-03-13
ch_000442,in_000455,cus_000023,299,succeeded,2025-03-09
ch_000443,in_000456,cus_000024,9,succeeded,2025-03-28
ch_000444,in_000457,cus_000025,29,succeeded,2025-03-13
ch_000445,in_000458,cus_000027,9,succeeded,2025-03-02
ch_000446,in_000459,cus_000028,9,succeeded,2025-03-13
ch_000447,in_000460,cus_000029,9,succeeded,2025-03-28
ch_000448,in_000461,cus_000032,9,succeeded,2025-03-02
ch_000449,in_000462,cus_000033,29,succeeded,2025-03-08
ch_000450,in_000463,cus_000034,9,succeeded,2025-03-20
