refund_id,charge_id,amount,reason,created
re_000149,ch_018843,145.0,fraudulent,2026-04-07
re_000150,ch_019095,49.5,requested_by_customer,2026-04-13
re_000151,ch_019408,4.5,duplicate,2026-04-18
re_000152,ch_019625,29.0,duplicate,2026-04-28
re_000153,ch_019638,4.5,requested_by_customer,2026-04-17
re_000154,ch_019653,495.0,fraudulent,2026-04-25
re_000155,ch_019909,14.5,requested_by_customer,2026-04-22
re_000156,ch_019970,14.5,requested_by_customer,2026-04-27
re_000157,ch_020062,90.0,fraudulent,2026-04-24
re_000158,ch_020092,4.5,fraudulent,2026-04-22
re_000159,ch_020144,90.0,requested_by_customer,2026-04-24
re_000160,ch_020181,14.5,fraudulent,2026-04-18
re_000161,ch_020411,4.5,requested_by_customer,2026-04-17
re_000162,ch_020519,145.0,fraudulent,2026-04-02
re_000163,ch_020765,29.0,duplicate,2026-04-17
re_000164,ch_020841,9.0,fraudulent,2026-04-02
re_000165,ch_020844,29.0,requested_by_customer,2026-04-03
re_000166,ch_020893,14.5,fraudulent,2026-04-15
re_000167,ch_021094,49.5,requested_by_customer,2026-04-24
re_000168,ch_021105,14.5,fraudulent,2026-04-09
re_000169,ch_021381,9.0,requested_by_customer,2026-05-27
re_000170,ch_021581,45.0,duplicate,2026-05-12
re_000171,ch_021655,299.0,requested_by_customer,2026-05-10
re_000172,ch_021663,14.5,duplicate,2026-05-21
re_000173,ch_021831,29.0,requested_by_customer,2026-05-24
re_000174,ch_022056,29.0,requested_by_customer,2026-05-20
re_000175,ch_022248,299.0,requested_by_customer,2026-05-21
re_000176,ch_022675,90.0,duplicate,2026-05-02
re_000177,ch_022739,9.0,requested_by_customer,2026-05-28
re_000178,ch_022884,99.0,requested_by_customer,2026-05-19
re_000179,ch_022924,49.5,fraudulent,2026-05-19
re_000180,ch_022960,29.0,duplicate,2026-05-17
re_000181,ch_022966,29.0,requested_by_customer,2026-05-25
re_000182,ch_023167,495.0,requested_by_customer,2026-05-07
re_000183,ch_023457,9.0,requested_by_customer,2026-05-15
re_000184,ch_023460,14.5,duplicate,2026-05-14
re_000185,ch_023476,9.0,requested_by_customer,2026-05-01
re_000186,ch_023658,99.0,requested_by_customer,2026-05-08
re_000187,ch_023754,99.0,requested_by_customer,2026-05-10
re_000188,ch_023849,99.0,duplicate,2026-05-06
re_000189,ch_023961,145.0,duplicate,2026-05-10
re_000190,ch_023964,14.5,duplicate,2026-05-10
re_000191,ch_023974,14.5,duplicate,2026-05-25
re_000192,ch_023983,14.5,requested_by_customer,2026-05-19
re_000193,ch_024012,299.0,requested_by_customer,2026-06-03
re_000194,ch_024185,145.0,requested_by_customer,2026-06-11
re_000195,ch_024416,90.0,fraudulent,2026-06-17
re_000196,ch_024779,145.0,requested_by_customer,2026-06-01
re_000197,ch_024783,49.5,fraudulent,2026-06-23
re_000198,ch_024903,4.5,requested_by_customer,2026-06-01
re_000199,ch_024939,9.0,fraudulent,2026-06-27
re_000200,ch_024993,45.0,duplicate,2026-06-25
re_000201,ch_025110,29.0,duplicate,2026-06-24
re_000202,ch_025368,4.5,requested_by_customer,2026-06-20
re_000203,ch_025477,299.0,requested_by_customer,2026-06-28
re_000204,ch_025796,4.5,duplicate,2026-06-15
re_000205,ch_025821,299.0,duplicate,2026-06-11
re_000206,ch_026025,45.0,fraudulent,2026-06-19
re_000207,ch_026157,14.5,requested_by_customer,2026-06-04
re_000208,ch_026315,4.5,duplicate,2026-06-12
re_000209,ch_026355,4.5,requested_by_customer,2026-06-04
re_000210,ch_026379,14.5,duplicate,2026-06-05
re_000211,ch_026381,290.0,duplicate,2026-06-26
re_000212,ch_026470,99.0,requested_by_customer,2026-06-17
re_000213,ch_026477,495.0,duplicate,2026-06-07
re_000214,ch_026915,4.5,fraudulent,2026-06-28
